ds,yhat,yhat_lower,yhat_upper
2023-01-01,1756.4205932520806,1306.6506779882989,2185.954359812875
2023-02-01,1593.7775349545827,1162.5794542800363,2038.1949553062152
2023-03-01,1865.3755287879803,1458.1523923224313,2310.061898158113
2023-04-01,2466.478911226705,2056.6654461425314,2879.765838544915
2023-05-01,1629.7408309853815,1146.4505812834168,2061.741479251891
2023-06-01,860.85920017177,431.0157438803275,1296.47711586964
2023-07-01,1888.802279402014,1472.2491280736908,2336.5615568461153
2023-08-01,1120.3157763902072,697.8448809092024,1584.3250799957266
2023-09-01,2432.767419471993,2001.2685801340763,2891.7524955786002
2023-10-01,1974.602454991305,1560.9993125668123,2417.6351296876364
2023-11-01,1210.1009462852792,774.0730009172212,1648.3856071137682
2023-12-01,1697.954673432452,1259.5779400667407,2124.2556836775548
2024-01-01,1530.161076642989,1100.2545169875898,1955.793053693612
2024-02-01,1508.8632878880799,1081.9678290350976,1953.4393036582833
2024-03-01,1620.0734625981343,1217.9496653528804,2053.1525331413154
2024-04-01,1452.3678015172636,1027.2667166292244,1892.2113577021332
2024-05-01,2108.06722977853,1688.9980317505956,2555.4051351189605
2024-06-01,1902.889783098014,1482.2413857298268,2357.651728632123
2024-07-01,1062.0773039746805,631.1131939590936,1483.4168371931858
2024-08-01,862.5718571133897,426.7735857340152,1331.4545015215479
2024-09-01,2398.5266398149593,1972.573011473188,2860.564388427537
2024-10-01,1212.8152885096815,745.0312696924525,1612.1829040526525
2024-11-01,2026.985883987224,1552.6513067608257,2448.2948489164723
2024-12-01,1243.8135097067372,815.2395686703404,1681.4611650673687
2025-01-01,1851.4519242954457,1449.971656466886,2310.264219602386
2025-02-01,1416.3804470543132,988.5603850790537,1855.8101907139944
2025-03-01,1579.5017063484052,1129.7380742080013,2007.1519395119535
2025-04-01,1675.8152181102757,1256.3023765449673,2124.0672260816455
2025-05-01,1838.1753177162977,1408.593775266415,2269.148528239421
2025-06-01,1431.5730817235396,1016.8080023811455,1875.1475470542484
2025-07-01,1211.4918073070985,764.9962812897419,1637.0154389390425
2025-07-31,1050.01372202548,643.3034908066533,1499.1838189602724
2025-08-31,2217.6928846410397,1815.4680618877524,2657.7051701357805
2025-09-30,2220.2363014579014,1772.9850843249114,2645.3221581204675
2025-10-31,415.067597376325,-26.619243970704698,826.9543622393762
2025-11-30,1769.8039479441393,1337.3233568946969,2226.0177213308057
2025-12-31,1078.9031735767512,653.1312784532913,1531.8614553393788
2026-01-31,1349.959467748655,915.9063368161371,1768.1394312924353
2026-02-28,1776.8791996841217,1350.449312384795,2205.955405376342
2026-03-31,3074.782275641296,2665.8267906579963,3516.166077095119
2026-04-30,717.3283333458846,287.48866771932,1169.965656965427
2026-05-31,-491.09816640081476,-923.7989305987181,-51.01640063187529
2026-06-30,2415.5310061786195,2005.7173229118443,2861.716214519739
